,#label,#id,sentence_length,characters_per_word,syllables_per_word,text_length,noun_phrases_per_sent,tree_height,sub_clauses_per_sent,sents_with_verb_as_root,sents_with_nouns_as_root,POS_verbs,POS_aux_verbs,POS_nouns,POS_adjectives,POS_punctuations,POS_determiners,POS_pronouns,POS_conjunctions,POS_numerales,POS_adpositions,ttr,lexical_complexity_score,verbs_in_sentence,pronouns_per_sentence,articles_per_sentence,count_of_discourse_markers,semantic_similarity_nouns,semantic_similarity_verbs,"semantic_similarity_adjectives
"
778,1.0,wiki_188,13.086957,6.677741,2.355482,301,4.434783,5.73913,0.565217,0.173913,0.0,0.089701,0.056478,0.27907,0.122924,0.12930999999999998,0.149502,0.016611,0.066445,0.255814,0.10299000000000001,0.574751,9.173919999999999,1.173913,0.21739099999999997,1.8260869999999998,1.086957,0.23998200000000003,0.341332,0.153385
779,1.0,wiki_189,14.058824,6.405858,2.259414,239,4.705882,6.0,0.529412,0.294118,0.058824,0.133891,0.054393,0.29707100000000003,0.09205,0.143369,0.15481199999999998,0.041841,0.054393,0.213389,0.133891,0.610879,9.312084,1.882353,0.5882350000000001,1.647059,1.352941,0.194838,0.293294,0.12452300000000001
780,1.0,wiki_190,13.285714000000002,7.1720429999999995,2.44086,93,4.285714,5.0,0.428571,0.14285699999999998,0.0,0.06451599999999999,0.053763,0.24731199999999998,0.16129000000000002,0.15596300000000002,0.18279600000000001,0.032257999999999995,0.06451599999999999,0.258065,0.06451599999999999,0.634409,8.322151,0.857143,0.428571,1.714286,1.142857,0.26139,0.0,0.206502
781,1.0,wiki_191,15.0,6.3333330000000005,2.2444439999999997,225,4.2,6.066667,0.266667,0.266667,0.0,0.128889,0.06666699999999999,0.26222199999999996,0.11555599999999999,0.11328099999999999,0.164444,0.013333000000000001,0.044444,0.186667,0.155556,0.608889,8.873811,1.9333330000000002,0.2,1.8,1.8,0.205058,0.41178100000000006,0.18638
782,1.0,wiki_192,10.0,6.122222,2.1555560000000002,90,3.777778,4.3333330000000005,0.44444399999999995,0.333333,0.0,0.06666699999999999,0.033333,0.244444,0.088889,0.134615,0.177778,0.044444,0.077778,0.22222199999999998,0.1,0.611111,9.144097,0.666667,0.44444399999999995,1.444444,1.0,0.24554600000000001,0.468976,0.11855399999999999
783,1.0,wiki_193,15.055556,6.97417,2.4354240000000003,542,5.194444,5.6666669999999995,1.111111,0.333333,0.0,0.088561,0.042435,0.260148,0.10516600000000001,0.144654,0.138376,0.029519999999999998,0.073801,0.24169699999999997,0.125461,0.52952,9.341225,1.333333,0.44444399999999995,1.6944439999999998,1.6944439999999998,0.22992100000000001,0.29777800000000004,0.181411
784,1.0,wiki_194,17.625,7.397163000000001,2.787234,141,5.625,6.125,1.625,0.125,0.125,0.113475,0.042553,0.31914899999999996,0.12056700000000001,0.225275,0.12766,0.014184,0.06383,0.347518,0.113475,0.683453,9.621243,2.0,0.25,1.5,1.75,0.33667800000000003,0.408831,0.264802
785,1.0,wiki_195,18.888889000000002,6.4205879999999995,2.308824,340,5.777778,6.222222,1.222222,0.388889,0.0,0.091176,0.032353,0.273529,0.138235,0.121447,0.191176,0.041176,0.044118,0.15,0.12058800000000001,0.5882350000000001,9.174299000000001,1.7222220000000001,0.777778,2.777778,1.888889,0.285179,0.363849,0.240902
786,1.0,wiki_196,9.6,5.3958330000000005,2.020833,48,3.4,5.4,0.4,0.4,0.0,0.1875,0.083333,0.229167,0.083333,0.186441,0.145833,0.083333,0.0625,0.229167,0.10416700000000001,0.729167,8.584402,1.8,0.8,1.0,0.8,0.2489,0.42960600000000004,0.256292
787,1.0,wiki_197,14.0,5.142857,1.785714,14,4.0,5.0,1.0,0.0,0.0,0.14285699999999998,0.07142899999999999,0.357143,0.0,0.22222199999999998,0.14285699999999998,0.0,0.07142899999999999,0.571429,0.0,1.0,8.726078,2.0,0.0,1.0,1.0,0.231915,0.0,0.0
